pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,10,Biramitrapur,285,,,,,,,,5,384,161,224,2,7,1,0,784,nan,4.0,788,nan
2,Sundargar,10,Biramitrapur,286,,,,,,,,7,199,139,409,3,16,4,7,784,nan,14.0,798,nan
2,Sundargar,10,Biramitrapur,287,,,,,,,,7,114,244,123,1,6,0,0,495,nan,5.0,500,nan
2,Sundargar,10,Biramitrapur,288,,,,,,,,6,247,26,267,3,7,213,5,774,nan,3.0,777,nan
2,Sundargar,10,Biramitrapur,289,,,,,,,,14,194,79,354,8,27,5,4,685,nan,9.0,694,nan
2,Sundargar,10,Biramitrapur,290,,,,,,,,10,165,22,146,9,11,7,11,381,nan,7.0,388,nan
2,Sundargar,10,Biramitrapur,291,,,,,,,,4,47,77,74,1,34,1,0,238,nan,0.0,238,nan
2,Sundargar,10,Biramitrapur,292,,,,,,,,8,208,342,309,3,25,0,3,898,nan,5.0,903,nan
2,Sundargar,10,Biramitrapur,293,,,,,,,,9,155,80,475,5,17,0,5,746,nan,14.0,760,nan
2,Sundargar,10,Biramitrapur,294,,,,,,,,5,132,100,291,4,18,4,1,555,nan,1.0,556,nan
2,Sundargar,10,Biramitrapur,295,,,,,,,,3,138,26,155,0,1,0,4,327,nan,7.0,334,nan
2,Sundargar,10,Biramitrapur,296,,,,,,,,7,157,38,261,1,33,5,10,512,nan,14.0,526,nan
2,Sundargar,10,Biramitrapur,297,,,,,,,,7,154,102,266,6,64,3,2,604,nan,6.0,610,nan
2,Sundargar,10,Biramitrapur,298,,,,,,,,10,103,90,178,7,51,2,4,445,nan,11.0,456,nan
2,Sundargar,10,Biramitrapur,299,,,,,,,,6,196,33,261,1,1,2,1,501,nan,3.0,504,nan
2,Sundargar,10,Biramitrapur,300,,,,,,,,6,119,68,34,0,52,2,3,284,nan,1.0,285,nan
2,Sundargar,10,Biramitrapur,301,,,,,,,,2,83,3,165,1,10,0,1,265,nan,3.0,268,nan
