pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of Valid Votes,No.of rejected votes       (Test Votes),Votes for NOTA option,Total,No.of Tendered Votes
11,Kalahandi,73,Lanjigarh,176.0,,,,,,,,187.0,78.0,27.0,382.0,27.0,701.0,0.0,39.0,740.0,0.0
11,Kalahandi,73,Lanjigarh,177.0,,,,,,,,428.0,159.0,36.0,210.0,22.0,855.0,0.0,37.0,892.0,0.0
11,Kalahandi,73,Lanjigarh,178.0,,,,,,,,288.0,256.0,35.0,406.0,22.0,1007.0,0.0,46.0,1053.0,0.0
11,Kalahandi,73,Lanjigarh,179.0,,,,,,,,71.0,402.0,29.0,134.0,22.0,658.0,0.0,40.0,698.0,0.0
11,Kalahandi,73,Lanjigarh,180.0,,,,,,,,124.0,140.0,27.0,111.0,17.0,419.0,0.0,21.0,440.0,0.0
11,Kalahandi,73,Lanjigarh,181.0,,,,,,,,66.0,482.0,69.0,78.0,36.0,731.0,0.0,29.0,760.0,0.0
11,Kalahandi,73,Lanjigarh,182.0,,,,,,,,529.0,165.0,47.0,231.0,40.0,1012.0,0.0,38.0,1050.0,0.0
11,Kalahandi,73,Lanjigarh,183.0,,,,,,,,511.0,101.0,10.0,188.0,6.0,816.0,0.0,13.0,829.0,0.0
11,Kalahandi,73,Lanjigarh,184.0,,,,,,,,311.0,123.0,23.0,372.0,27.0,856.0,0.0,36.0,892.0,0.0
11,Kalahandi,73,Lanjigarh,185.0,,,,,,,,369.0,176.0,24.0,354.0,21.0,944.0,0.0,34.0,978.0,0.0
11,Kalahandi,73,Lanjigarh,186.0,,,,,,,,472.0,314.0,26.0,133.0,12.0,957.0,0.0,13.0,970.0,0.0
11,Kalahandi,73,Lanjigarh,187.0,,,,,,,,279.0,484.0,39.0,149.0,11.0,962.0,0.0,13.0,975.0,0.0
11,Kalahandi,73,Lanjigarh,188.0,,,,,,,,376.0,133.0,12.0,158.0,7.0,686.0,0.0,19.0,705.0,0.0
11,Kalahandi,73,Lanjigarh,189.0,,,,,,,,292.0,202.0,20.0,465.0,23.0,1002.0,0.0,29.0,1031.0,0.0
11,Kalahandi,73,Lanjigarh,190.0,,,,,,,,518.0,73.0,18.0,320.0,13.0,942.0,0.0,15.0,957.0,0.0
11,Kalahandi,73,Lanjigarh,191.0,,,,,,,,289.0,137.0,10.0,183.0,11.0,630.0,0.0,12.0,642.0,0.0
11,Kalahandi,73,Lanjigarh,192.0,,,,,,,,272.0,166.0,12.0,352.0,7.0,809.0,0.0,9.0,818.0,0.0
