pc_id,pc_name,ac_id,ac_name,Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No fo rejected Votes (Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,44,Simulia,89,,,,,,,,36,147,2,419,2,0,0.0,1,607,0,3,610,0
7,Bhadrak,44,Simulia,90,,,,,,,,82,383,0,461,0,2,0.0,4,932,0,3,935,0
7,Bhadrak,44,Simulia,91,,,,,,,,36,305,1,362,2,2,0.0,2,710,0,1,711,0
7,Bhadrak,44,Simulia,92,,,,,,,,26,166,4,312,0,1,0.0,2,511,0,0,511,0
7,Bhadrak,44,Simulia,93,,,,,,,,60,200,0,412,3,1,1.0,1,678,0,1,679,0
7,Bhadrak,44,Simulia,94,,,,,,,,99,446,0,334,1,2,3.0,6,891,0,5,896,0
7,Bhadrak,44,Simulia,95,,,,,,,,41,376,3,282,2,2,3.0,1,710,0,3,713,0
7,Bhadrak,44,Simulia,96,,,,,,,,34,225,2,339,1,0,0.0,1,602,0,1,603,0
7,Bhadrak,44,Simulia,97,,,,,,,,23,218,3,289,1,0,0.0,1,535,0,1,536,0
7,Bhadrak,44,Simulia,98,,,,,,,,46,234,1,270,2,1,0.0,7,561,0,1,562,0
7,Bhadrak,44,Simulia,99,,,,,,,,21,188,1,275,1,1,0.0,1,488,0,1,489,0
7,Bhadrak,44,Simulia,100,,,,,,,,112,304,3,487,4,1,2.0,0,913,0,5,918,0
7,Bhadrak,44,Simulia,101,,,,,,,,148,273,5,373,2,0,2.0,2,805,0,4,809,0
7,Bhadrak,44,Simulia,102,,,,,,,,110,214,2,223,3,4,1.0,3,560,0,4,564,0
7,Bhadrak,44,Simulia,103,,,,,,,,75,220,3,463,6,2,3.0,3,775,0,5,780,0
7,Bhadrak,44,Simulia,104,,,,,,,,125,241,3,271,1,3,2.0,2,648,0,6,654,0
7,Bhadrak,44,Simulia,105,,,,,,,,56,230,1,450,2,3,1.0,0,743,0,3,746,0
7,Bhadrak,44,Simulia,106,,,,,,,,107,175,2,308,1,1,0.0,26,620,0,2,622,0
7,Bhadrak,44,Simulia,107,,,,,,,,55,100,1,201,0,0,0.0,5,362,0,0,362,0
7,Bhadrak,44,Simulia,108,,,,,,,,121,172,2,332,0,0,2.0,9,638,0,2,640,0
7,Bhadrak,44,Simulia,109,,,,,,,,204,155,3,333,1,1,3.0,10,710,0,4,714,0
7,Bhadrak,44,Simulia,110,,,,,,,,279,200,2,361,0,0,2.0,6,850,0,1,851,0
7,Bhadrak,44,Simulia,111,,,,,,,,136,144,5,262,3,1,0.0,5,556,0,5,561,0
7,Bhadrak,44,Simulia,112,,,,,,,,154,125,2,238,2,1,1.0,2,525,0,1,526,0
7,Bhadrak,44,Simulia,113,,,,,,,,20,308,2,427,0,0,1.0,1,759,0,4,763,0
7,Bhadrak,44,Simulia,114,,,,,,,,13,375,7,295,1,2,1.0,1,695,0,4,699,0
7,Bhadrak,44,Simulia,115,,,,,,,,9,231,1,208,2,1,1.0,0,453,0,0,453,0
7,Bhadrak,44,Simulia,116,,,,,,,,15,382,1,205,1,1,0.0,0,605,0,0,605,0
7,Bhadrak,44,Simulia,117,,,,,,,,18,398,3,210,2,0,1.0,3,635,0,4,639,0
7,Bhadrak,44,Simulia,118,,,,,,,,10,249,0,202,0,1,1.0,1,464,0,4,468,0
7,Bhadrak,44,Simulia,119,,,,,,,,7,188,2,170,3,0,0.0,0,370,0,1,371,0
7,Bhadrak,44,Simulia,120,,,,,,,,7,313,2,202,1,0,0.0,1,526,0,7,533,0
7,Bhadrak,44,Simulia,121,,,,,,,,27,232,2,283,1,2,0.0,2,549,0,1,550,0
7,Bhadrak,44,Simulia,122,,,,,,,,16,403,1,279,0,2,0.0,1,702,0,2,704,0
7,Bhadrak,44,Simulia,123,,,,,,,,36,144,0,272,1,2,3.0,1,459,0,3,462,0
7,Bhadrak,44,Simulia,124,,,,,,,,27,250,2,424,0,1,0.0,0,704,0,6,710,0
7,Bhadrak,44,Simulia,125,,,,,,,,15,219,3,212,0,0,0.0,1,450,0,2,452,0
7,Bhadrak,44,Simulia,126,,,,,,,,67,422,1,211,1,1,0.0,3,706,0,1,707,0
7,Bhadrak,44,Simulia,127,,,,,,,,48,265,2,304,1,1,0.0,3,624,0,1,625,0
7,Bhadrak,44,Simulia,128,,,,,,,,54,407,2,388,5,2,0.0,2,860,0,1,861,0
7,Bhadrak,44,Simulia,129,,,,,,,,24,387,0,432,2,2,0.0,1,848,0,1,849,0
7,Bhadrak,44,Simulia,130,,,,,,,,12,495,0,329,2,4,2.0,5,849,0,4,853,0
7,Bhadrak,44,Simulia,131,,,,,,,,29,309,1,154,1,2,1.0,1,498,0,0,498,0
7,Bhadrak,44,Simulia,132,,,,,,,,19,326,0,182,1,1,2.0,4,535,0,1,536,0
7,Bhadrak,44,Simulia,133,,,,,,,,86,357,4,373,5,3,3.0,5,836,0,3,839,0
