pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,38,Bhograi,24,,,,,,,,362,419,44,2,0,0,2,1,1,2.0,3,1,837,nan,5.0,842,nan
6,Balasore,38,Bhograi,25,,,,,,,,526,398,105,1,4,5,1,1,1,0.0,1,3,1046,nan,4.0,1050,nan
6,Balasore,38,Bhograi,26,,,,,,,,414,355,42,1,0,1,1,0,0,0.0,0,0,814,nan,0.0,814,nan
6,Balasore,38,Bhograi,27,,,,,,,,198,154,10,2,0,0,0,0,0,1.0,0,1,366,nan,0.0,366,nan
6,Balasore,38,Bhograi,28,,,,,,,,434,518,114,3,3,4,1,4,1,3.0,0,3,1088,nan,5.0,1093,nan
6,Balasore,38,Bhograi,29,,,,,,,,458,394,73,1,3,0,1,0,0,1.0,1,2,934,nan,1.0,935,nan
6,Balasore,38,Bhograi,30,,,,,,,,219,266,108,2,0,1,1,0,0,0.0,0,0,597,nan,0.0,597,nan
6,Balasore,38,Bhograi,31,,,,,,,,437,355,45,0,1,0,1,0,1,0.0,3,2,845,nan,3.0,848,nan
6,Balasore,38,Bhograi,32,,,,,,,,499,324,97,2,1,0,1,0,0,1.0,4,1,930,nan,2.0,932,nan
6,Balasore,38,Bhograi,33,,,,,,,,316,348,191,1,2,0,1,0,1,0.0,1,1,862,nan,1.0,863,nan
6,Balasore,38,Bhograi,34,,,,,,,,458,139,485,3,1,0,2,0,1,1.0,0,0,1090,nan,4.0,1094,nan
6,Balasore,38,Bhograi,35,,,,,,,,232,344,49,1,3,1,0,0,15,0.0,1,1,647,nan,2.0,649,nan
6,Balasore,38,Bhograi,36,,,,,,,,209,349,66,2,1,0,2,1,0,0.0,1,1,632,nan,2.0,634,nan
6,Balasore,38,Bhograi,37,,,,,,,,272,198,88,1,0,0,2,0,0,1.0,3,1,566,nan,1.0,567,nan
6,Balasore,38,Bhograi,38,,,,,,,,180,244,161,1,1,0,0,0,0,1.0,0,0,588,nan,0.0,588,nan
6,Balasore,38,Bhograi,39,,,,,,,,157,184,68,1,0,0,0,0,0,1.0,0,0,411,nan,2.0,413,nan
6,Balasore,38,Bhograi,40,,,,,,,,306,307,12,1,0,0,0,0,0,1.0,0,1,628,nan,2.0,630,nan
6,Balasore,38,Bhograi,41,,,,,,,,409,271,54,2,2,0,0,1,1,0.0,0,2,742,nan,0.0,742,nan
6,Balasore,38,Bhograi,42,,,,,,,,370,247,33,2,0,0,0,0,0,0.0,0,0,652,nan,2.0,654,nan
6,Balasore,38,Bhograi,43,,,,,,,,321,474,82,3,3,0,1,0,2,0.0,1,2,889,nan,1.0,890,nan
6,Balasore,38,Bhograi,44,,,,,,,,304,357,65,2,2,0,1,0,1,2.0,1,1,736,nan,8.0,744,nan
6,Balasore,38,Bhograi,45,,,,,,,,259,285,60,1,1,0,1,1,0,0.0,1,0,609,nan,3.0,612,nan
6,Balasore,38,Bhograi,46,,,,,,,,515,458,84,5,1,1,3,0,1,2.0,2,3,1075,nan,6.0,1081,nan
6,Balasore,38,Bhograi,47,,,,,,,,345,514,55,2,4,0,1,2,1,0.0,0,1,925,nan,5.0,930,nan
6,Balasore,38,Bhograi,48,,,,,,,,353,203,60,2,1,0,0,0,1,0.0,0,0,620,nan,2.0,622,nan
6,Balasore,38,Bhograi,49,,,,,,,,448,426,90,0,0,1,2,0,3,1.0,1,2,974,nan,2.0,976,nan
6,Balasore,38,Bhograi,50,,,,,,,,216,271,38,2,1,2,0,0,1,0.0,0,1,532,nan,2.0,534,nan
6,Balasore,38,Bhograi,51,,,,,,,,79,221,20,0,0,0,0,0,0,0.0,0,1,321,nan,5.0,326,nan
6,Balasore,38,Bhograi,52,,,,,,,,214,268,35,0,2,0,0,0,0,1.0,0,0,520,nan,2.0,522,nan
6,Balasore,38,Bhograi,53,,,,,,,,383,387,49,2,0,2,1,1,1,1.0,1,2,830,nan,1.0,831,nan
6,Balasore,38,Bhograi,54,,,,,,,,311,562,110,2,2,1,2,1,2,1.0,2,3,999,nan,3.0,1002,nan
6,Balasore,38,Bhograi,55,,,,,,,,363,570,71,3,0,1,1,1,0,3.0,2,1,1016,nan,3.0,1019,nan
6,Balasore,38,Bhograi,56,,,,,,,,338,528,121,0,1,2,1,0,0,0.0,1,4,996,nan,12.0,1008,nan
6,Balasore,38,Bhograi,57,,,,,,,,389,521,78,3,1,3,0,0,1,0.0,1,2,999,nan,2.0,1001,nan
