pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,57,Dhenkanal,184,,,,,,,,404,14,28,361,9,2,3,821,0,8,829,0
9,Dhenkanal,57,Dhenkanal,186,,,,,,,,115,2,22,171,3,2,0,315,0,2,317,0
9,Dhenkanal,57,Dhenkanal,187,,,,,,,,295,108,34,151,1,0,0,589,0,1,590,0
9,Dhenkanal,57,Dhenkanal,188,,,,,,,,217,2,16,159,0,0,0,394,0,1,395,0
9,Dhenkanal,57,Dhenkanal,189,,,,,,,,499,2,20,280,5,6,2,814,0,4,818,0
9,Dhenkanal,57,Dhenkanal,190,,,,,,,,478,9,35,270,7,1,1,801,0,6,807,0
9,Dhenkanal,57,Dhenkanal,191,,,,,,,,382,3,33,284,4,1,2,709,0,10,719,0
9,Dhenkanal,57,Dhenkanal,192,,,,,,,,220,7,27,126,1,3,0,384,0,0,384,0
9,Dhenkanal,57,Dhenkanal,193,,,,,,,,597,3,23,228,3,4,3,861,0,7,868,0
9,Dhenkanal,57,Dhenkanal,194,,,,,,,,220,5,82,341,3,2,3,656,0,13,669,0
9,Dhenkanal,57,Dhenkanal,195,,,,,,,,329,4,92,291,3,3,3,725,0,4,729,0
9,Dhenkanal,57,Dhenkanal,196,,,,,,,,192,7,58,199,5,1,2,464,0,5,469,0
9,Dhenkanal,57,Dhenkanal,197,,,,,,,,280,7,42,259,5,6,2,601,0,3,604,0
9,Dhenkanal,57,Dhenkanal,198,,,,,,,,298,6,7,62,2,3,2,380,0,2,382,0
9,Dhenkanal,57,Dhenkanal,199,,,,,,,,236,2,12,96,0,1,1,348,0,2,350,0
9,Dhenkanal,57,Dhenkanal,200,,,,,,,,484,2,15,355,2,1,0,859,0,0,859,0
9,Dhenkanal,57,Dhenkanal,201,,,,,,,,460,2,64,228,0,3,1,758,0,8,766,0
9,Dhenkanal,57,Dhenkanal,202,,,,,,,,365,3,15,186,1,0,3,573,0,1,574,0
9,Dhenkanal,57,Dhenkanal,203,,,,,,,,276,5,10,196,0,1,0,488,0,3,491,0
9,Dhenkanal,57,Dhenkanal,204,,,,,,,,281,2,29,202,1,1,2,518,0,7,525,0
9,Dhenkanal,57,Dhenkanal,205,,,,,,,,335,7,18,205,5,4,1,575,0,2,577,0
9,Dhenkanal,57,Dhenkanal,206,,,,,,,,387,6,14,317,2,1,0,727,0,1,728,0
9,Dhenkanal,57,Dhenkanal,207,,,,,,,,503,2,22,346,0,2,3,878,0,7,885,0
9,Dhenkanal,57,Dhenkanal,208,,,,,,,,555,9,29,305,2,1,0,901,0,4,905,0
9,Dhenkanal,57,Dhenkanal,209,,,,,,,,525,9,36,426,17,7,17,1037,0,18,1055,0
9,Dhenkanal,57,Dhenkanal,210,,,,,,,,390,3,54,304,10,5,7,773,0,7,780,0
9,Dhenkanal,57,Dhenkanal,211,,,,,,,,381,8,4,177,1,1,2,574,0,1,575,0
9,Dhenkanal,57,Dhenkanal,212,,,,,,,,490,7,23,395,3,5,1,924,0,2,926,0
9,Dhenkanal,57,Dhenkanal,213,,,,,,,,379,6,9,356,6,3,0,759,0,0,759,0
9,Dhenkanal,57,Dhenkanal,214,,,,,,,,303,3,11,231,3,2,3,556,0,4,560,0
9,Dhenkanal,57,Dhenkanal,215,,,,,,,,452,2,3,144,4,0,1,606,0,3,609,0
9,Dhenkanal,57,Dhenkanal,216,,,,,,,,359,12,21,168,8,8,8,584,0,5,589,0
9,Dhenkanal,57,Dhenkanal,217,,,,,,,,250,3,6,59,0,0,0,318,0,0,318,0
9,Dhenkanal,57,Dhenkanal,218,,,,,,,,466,5,25,201,3,2,4,706,0,5,711,0
9,Dhenkanal,57,Dhenkanal,219,,,,,,,,413,3,48,154,3,3,1,625,0,5,630,0
9,Dhenkanal,57,Dhenkanal,220,,,,,,,,284,5,17,106,2,2,3,419,0,2,421,0
9,Dhenkanal,57,Dhenkanal,221,,,,,,,,228,0,26,171,1,1,0,427,0,2,429,0
9,Dhenkanal,57,Dhenkanal,222,,,,,,,,173,3,15,121,1,1,3,317,0,0,317,0
9,Dhenkanal,57,Dhenkanal,223,,,,,,,,451,2,18,345,5,6,5,832,0,8,840,0
9,Dhenkanal,57,Dhenkanal,224,,,,,,,,289,8,29,354,0,2,1,683,0,6,689,0
9,Dhenkanal,57,Dhenkanal,225,,,,,,,,156,1,17,207,3,6,0,390,0,4,394,0
9,Dhenkanal,57,Dhenkanal,226,,,,,,,,341,8,21,440,14,3,8,835,0,14,849,0
9,Dhenkanal,57,Dhenkanal,227,,,,,,,,355,8,10,380,10,4,2,769,0,5,774,0
9,Dhenkanal,57,Dhenkanal,228,,,,,,,,287,7,17,424,9,5,5,754,0,11,765,0
9,Dhenkanal,57,Dhenkanal,229,,,,,,,,516,6,32,182,4,0,4,744,0,7,751,0
9,Dhenkanal,57,Dhenkanal,230,,,,,,,,272,2,8,266,0,3,1,552,0,1,553,0
9,Dhenkanal,57,Dhenkanal,231,,,,,,,,585,13,16,203,10,12,11,850,0,20,870,0
9,Dhenkanal,57,Dhenkanal,232,,,,,,,,168,3,17,70,0,2,3,263,0,0,263,0
9,Dhenkanal,57,Dhenkanal,233,,,,,,,,223,1,7,123,3,3,3,363,0,4,367,0
9,Dhenkanal,57,Dhenkanal,234,,,,,,,,393,9,35,268,2,3,2,712,0,5,717,0
9,Dhenkanal,57,Dhenkanal,235,,,,,,,,262,3,17,218,5,7,4,516,0,15,531,0
9,Dhenkanal,57,Dhenkanal,236,,,,,,,,487,5,88,372,7,5,5,969,0,4,973,0
