pc_id,pc_name,ac_id,ac_name,Sl No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No of votes rejected,NOTA,Total
10,Bolangir,64,Birmaharajpur,252,,,,,,,,404,154,2,302,2,16,2,15,5,902,0,4,906
10,Bolangir,64,Birmaharajpur,253,,,,,,,,217,56,2,205,1,1,1,27,3,513,0,2,515
10,Bolangir,64,Birmaharajpur,254,,,,,,,,246,91,3,187,7,1,1,37,4,577,0,1,578
10,Bolangir,64,Birmaharajpur,255,,,,,,,,181,126,1,151,2,3,1,1,5,471,0,0,471
10,Bolangir,64,Birmaharajpur,256,,,,,,,,353,258,6,214,1,2,1,10,4,849,0,10,859
10,Bolangir,64,Birmaharajpur,257,,,,,,,,343,52,2,549,4,1,0,4,1,956,0,0,956
10,Bolangir,64,Birmaharajpur,258,,,,,,,,261,214,1,137,6,1,3,13,3,639,0,3,642
10,Bolangir,64,Birmaharajpur,259,,,,,,,,105,106,5,168,5,2,2,2,0,395,0,2,397
10,Bolangir,64,Birmaharajpur,260,,,,,,,,270,93,6,87,1,1,3,11,1,473,0,7,480
10,Bolangir,64,Birmaharajpur,261,,,,,,,,153,55,6,68,3,2,3,3,1,294,0,0,294
10,Bolangir,64,Birmaharajpur,262,,,,,,,,282,248,2,166,5,42,5,8,1,759,0,2,761
10,Bolangir,64,Birmaharajpur,263,,,,,,,,185,71,2,82,3,1,1,2,1,348,0,0,348
10,Bolangir,64,Birmaharajpur,264,,,,,,,,298,116,11,194,4,3,3,6,5,640,0,4,644
10,Bolangir,64,Birmaharajpur,265,,,,,,,,288,254,4,222,3,4,1,83,6,865,0,5,870
10,Bolangir,64,Birmaharajpur,266,,,,,,,,354,178,9,252,5,3,0,17,7,825,0,4,829
10,Bolangir,64,Birmaharajpur,267,,,,,,,,380,296,6,222,5,2,3,21,5,940,0,4,944
