pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid votes,No. of Rejected Votes,Votes for NOTA option,Total,No. of Tendered Votes
4,Keonjhar,22,Telkoi,109,,,,,,,,130,224,310,2,0,3,0,2,671,0,5.0,676,0
4,Keonjhar,22,Telkoi,110,,,,,,,,45,57,246,0,0,1,0,0,349,0,1.0,350,0
4,Keonjhar,22,Telkoi,111,,,,,,,,155,222,513,3,2,2,1,1,899,0,3.0,902,0
4,Keonjhar,22,Telkoi,112,,,,,,,,138,169,245,1,0,0,2,1,556,0,2.0,558,0
4,Keonjhar,22,Telkoi,113,,,,,,,,91,79,364,4,0,0,3,3,544,0,4.0,548,0
4,Keonjhar,22,Telkoi,114,,,,,,,,58,82,344,4,0,0,1,1,490,0,1.0,491,0
4,Keonjhar,22,Telkoi,115,,,,,,,,75,138,187,1,0,0,1,2,404,0,0.0,404,0
4,Keonjhar,22,Telkoi,116,,,,,,,,103,99,577,3,0,0,0,2,784,0,2.0,786,0
4,Keonjhar,22,Telkoi,117,,,,,,,,82,39,628,6,1,2,3,3,764,0,15.0,779,0
4,Keonjhar,22,Telkoi,118,,,,,,,,148,130,460,1,1,4,1,3,748,0,6.0,754,0
4,Keonjhar,22,Telkoi,119,,,,,,,,92,142,157,0,0,1,0,0,392,0,0.0,392,0
4,Keonjhar,22,Telkoi,120,,,,,,,,60,85,225,1,0,0,1,0,372,0,0.0,372,0
4,Keonjhar,22,Telkoi,121,,,,,,,,121,176,233,2,0,2,3,2,539,0,2.0,541,0
4,Keonjhar,22,Telkoi,122,,,,,,,,110,140,340,2,1,0,5,2,600,0,3.0,603,0
4,Keonjhar,22,Telkoi,123,,,,,,,,69,45,293,1,1,4,2,4,419,0,8.0,427,0
4,Keonjhar,22,Telkoi,124,,,,,,,,113,136,496,3,1,0,2,1,752,0,5.0,757,0
4,Keonjhar,22,Telkoi,125,,,,,,,,135,82,537,2,1,1,1,3,762,0,3.0,765,0
4,Keonjhar,22,Telkoi,126,,,,,,,,97,189,475,1,1,1,1,0,765,0,2.0,767,0
4,Keonjhar,22,Telkoi,127,,,,,,,,75,160,350,4,1,6,2,2,600,0,4.0,604,0
4,Keonjhar,22,Telkoi,128,,,,,,,,170,307,491,6,4,3,5,1,987,0,3.0,990,0
4,Keonjhar,22,Telkoi,129,,,,,,,,59,95,309,2,0,0,3,4,472,0,3.0,475,0
4,Keonjhar,22,Telkoi,130,,,,,,,,85,78,155,0,0,0,0,2,320,0,2.0,322,0
4,Keonjhar,22,Telkoi,131,,,,,,,,124,194,371,4,1,1,1,2,698,0,1.0,699,0
4,Keonjhar,22,Telkoi,132,,,,,,,,31,28,285,0,1,0,1,1,347,0,1.0,348,0
4,Keonjhar,22,Telkoi,133,,,,,,,,80,72,453,2,1,1,1,2,612,0,1.0,613,0
4,Keonjhar,22,Telkoi,134,,,,,,,,121,237,381,1,3,2,1,1,747,0,8.0,755,0
4,Keonjhar,22,Telkoi,135,,,,,,,,79,65,218,2,2,0,2,1,369,0,2.0,371,0
4,Keonjhar,22,Telkoi,136,,,,,,,,95,149,368,1,1,1,1,1,617,0,2.0,619,0
4,Keonjhar,22,Telkoi,137,,,,,,,,78,227,236,3,0,0,0,0,544,0,0.0,544,0
4,Keonjhar,22,Telkoi,138,,,,,,,,67,139,136,0,0,1,3,0,346,0,1.0,347,0
4,Keonjhar,22,Telkoi,139,,,,,,,,108,164,529,1,2,0,1,0,805,0,3.0,808,0
4,Keonjhar,22,Telkoi,140,,,,,,,,108,137,251,1,3,2,1,1,504,0,6.0,510,0
4,Keonjhar,22,Telkoi,141,,,,,,,,170,95,395,2,1,1,1,1,666,0,3.0,669,0
4,Keonjhar,22,Telkoi,142,,,,,,,,123,162,331,4,3,0,1,1,625,0,2.0,627,0
4,Keonjhar,22,Telkoi,143,,,,,,,,139,127,377,2,2,0,0,2,649,0,1.0,650,0
4,Keonjhar,22,Telkoi,144,,,,,,,,110,147,238,0,0,0,0,1,496,0,3.0,499,0
4,Keonjhar,22,Telkoi,145,,,,,,,,98,73,271,1,0,0,0,0,443,0,1.0,444,0
4,Keonjhar,22,Telkoi,146,,,,,,,,114,152,377,1,1,1,1,2,649,0,7.0,656,0
