pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No. of rejected votes,NOTA,Total,No of tendered votes
4,Keonjhar,25,Patna,141,,,,,,,,7,381,182,20,2,9,3,2,5,16,8,4,22,4,15,6,686,nan,6,692,nan
4,Keonjhar,25,Patna,142,,,,,,,,13,220,445,11,0,1,0,0,0,4,1,1,6,1,13,1,717,nan,0,717,nan
4,Keonjhar,25,Patna,143,,,,,,,,9,382,248,29,1,0,6,5,4,10,6,9,30,2,15,7,763,nan,0,763,nan
4,Keonjhar,25,Patna,144,,,,,,,,6,398,214,10,1,4,2,3,3,4,3,4,23,1,11,9,696,nan,7,703,nan
4,Keonjhar,25,Patna,145,,,,,,,,14,451,334,22,2,5,4,7,6,7,3,4,30,1,7,7,904,nan,1,905,nan
4,Keonjhar,25,Patna,146,,,,,,,,7,555,190,12,2,4,5,7,7,14,7,10,36,11,26,20,913,nan,2,915,nan
4,Keonjhar,25,Patna,147,,,,,,,,11,249,119,11,0,4,9,7,4,11,4,2,3,1,9,8,452,nan,4,456,nan
4,Keonjhar,25,Patna,148,,,,,,,,10,538,218,14,6,1,1,6,1,5,4,1,21,1,3,4,834,nan,3,837,nan
4,Keonjhar,25,Patna,149,,,,,,,,5,234,194,15,0,1,0,0,2,5,2,1,5,3,1,2,470,nan,0,470,nan
4,Keonjhar,25,Patna,150,,,,,,,,12,481,272,4,1,1,1,4,1,5,1,4,8,1,18,3,817,nan,5,822,nan
4,Keonjhar,25,Patna,151,,,,,,,,6,364,69,12,1,2,1,2,2,6,4,1,2,1,2,0,475,nan,0,475,nan
4,Keonjhar,25,Patna,152,,,,,,,,16,530,226,17,6,2,5,6,7,12,3,2,15,3,12,4,866,nan,1,867,nan
4,Keonjhar,25,Patna,153,,,,,,,,16,360,363,11,8,1,3,0,0,8,4,4,22,7,39,10,856,nan,9,865,nan
4,Keonjhar,25,Patna,154,,,,,,,,8,344,175,28,2,2,11,7,3,4,3,1,2,7,7,5,609,nan,1,610,nan
