pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid votes,No. Of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
9,Dhenkanal,62,Talcher,167,,,,,,,,302.0,5.0,33.0,179.0,4.0,0.0,0.0,0.0,523.0,0.0,1.0,524.0,0.0
9,Dhenkanal,62,Talcher,168,,,,,,,,350.0,10.0,35.0,541.0,5.0,3.0,0.0,0.0,944.0,0.0,1.0,945.0,0.0
9,Dhenkanal,62,Talcher,169,,,,,,,,221.0,1.0,3.0,311.0,4.0,1.0,0.0,5.0,546.0,0.0,9.0,555.0,0.0
9,Dhenkanal,62,Talcher,170,,,,,,,,244.0,2.0,33.0,215.0,1.0,1.0,0.0,1.0,497.0,0.0,4.0,501.0,0.0
9,Dhenkanal,62,Talcher,171,,,,,,,,481.0,13.0,96.0,297.0,2.0,4.0,3.0,1.0,897.0,0.0,5.0,902.0,0.0
9,Dhenkanal,62,Talcher,172,,,,,,,,321.0,7.0,114.0,393.0,3.0,2.0,1.0,1.0,842.0,0.0,3.0,845.0,0.0
9,Dhenkanal,62,Talcher,173,,,,,,,,287.0,9.0,30.0,359.0,4.0,3.0,1.0,1.0,694.0,0.0,5.0,699.0,0.0
9,Dhenkanal,62,Talcher,174,,,,,,,,176.0,4.0,263.0,323.0,3.0,1.0,3.0,2.0,775.0,0.0,5.0,780.0,0.0
9,Dhenkanal,62,Talcher,175,,,,,,,,263.0,5.0,87.0,320.0,2.0,5.0,0.0,1.0,683.0,0.0,4.0,687.0,0.0
9,Dhenkanal,62,Talcher,176,,,,,,,,129.0,3.0,96.0,372.0,1.0,2.0,2.0,1.0,606.0,0.0,11.0,617.0,0.0
9,Dhenkanal,62,Talcher,177,,,,,,,,151.0,4.0,89.0,336.0,2.0,1.0,2.0,2.0,587.0,0.0,4.0,591.0,0.0
9,Dhenkanal,62,Talcher,178,,,,,,,,113.0,6.0,190.0,404.0,7.0,3.0,2.0,5.0,730.0,0.0,4.0,734.0,0.0
9,Dhenkanal,62,Talcher,179,,,,,,,,167.0,4.0,231.0,504.0,4.0,0.0,2.0,2.0,914.0,0.0,1.0,915.0,0.0
9,Dhenkanal,62,Talcher,180,,,,,,,,270.0,8.0,145.0,451.0,3.0,0.0,3.0,4.0,884.0,0.0,16.0,900.0,0.0
9,Dhenkanal,62,Talcher,181,,,,,,,,136.0,4.0,126.0,418.0,3.0,5.0,4.0,5.0,701.0,0.0,17.0,718.0,0.0
9,Dhenkanal,62,Talcher,182,,,,,,,,224.0,0.0,59.0,276.0,0.0,2.0,1.0,1.0,563.0,0.0,4.0,567.0,0.0
9,Dhenkanal,62,Talcher,183,,,,,,,,218.0,5.0,120.0,238.0,0.0,3.0,1.0,1.0,586.0,0.0,0.0,586.0,0.0
9,Dhenkanal,62,Talcher,184,,,,,,,,210.0,5.0,43.0,357.0,0.0,2.0,1.0,2.0,620.0,0.0,4.0,624.0,0.0
9,Dhenkanal,62,Talcher,185,,,,,,,,352.0,5.0,48.0,384.0,4.0,6.0,1.0,10.0,810.0,0.0,15.0,825.0,0.0
9,Dhenkanal,62,Talcher,186,,,,,,,,261.0,2.0,87.0,197.0,2.0,1.0,3.0,3.0,556.0,0.0,3.0,559.0,0.0
9,Dhenkanal,62,Talcher,187,,,,,,,,429.0,3.0,143.0,478.0,2.0,1.0,0.0,3.0,1059.0,0.0,2.0,1061.0,0.0
9,Dhenkanal,62,Talcher,188,,,,,,,,311.0,10.0,121.0,560.0,6.0,6.0,9.0,5.0,1028.0,0.0,15.0,1043.0,0.0
9,Dhenkanal,62,Talcher,189,,,,,,,,199.0,0.0,128.0,430.0,7.0,0.0,1.0,1.0,766.0,0.0,1.0,767.0,0.0
9,Dhenkanal,62,Talcher,190,,,,,,,,206.0,3.0,186.0,432.0,1.0,5.0,13.0,5.0,851.0,0.0,10.0,861.0,0.0
9,Dhenkanal,62,Talcher,191,,,,,,,,261.0,10.0,124.0,311.0,2.0,2.0,1.0,0.0,711.0,0.0,3.0,714.0,0.0
9,Dhenkanal,62,Talcher,192,,,,,,,,199.0,0.0,334.0,229.0,5.0,2.0,6.0,2.0,777.0,0.0,8.0,785.0,0.0
9,Dhenkanal,62,Talcher,193,,,,,,,,287.0,4.0,83.0,366.0,3.0,1.0,1.0,2.0,747.0,0.0,7.0,754.0,0.0
9,Dhenkanal,62,Talcher,194,,,,,,,,367.0,4.0,225.0,359.0,0.0,4.0,1.0,5.0,965.0,0.0,4.0,969.0,0.0
9,Dhenkanal,62,Talcher,195,,,,,,,,266.0,6.0,171.0,271.0,1.0,2.0,1.0,4.0,722.0,0.0,3.0,725.0,0.0
9,Dhenkanal,62,Talcher,196,,,,,,,,256.0,5.0,145.0,202.0,4.0,1.0,3.0,4.0,620.0,0.0,7.0,627.0,0.0
9,Dhenkanal,62,Talcher,197,,,,,,,,271.0,3.0,39.0,356.0,2.0,1.0,1.0,3.0,676.0,0.0,1.0,677.0,0.0
9,Dhenkanal,62,Talcher,198,,,,,,,,433.0,5.0,51.0,404.0,4.0,0.0,1.0,2.0,900.0,0.0,2.0,902.0,0.0
9,Dhenkanal,62,Talcher,199,,,,,,,,446.0,10.0,71.0,374.0,0.0,3.0,1.0,5.0,910.0,0.0,2.0,912.0,0.0
9,Dhenkanal,62,Talcher,200,,,,,,,,299.0,4.0,46.0,494.0,10.0,2.0,1.0,0.0,856.0,0.0,5.0,861.0,0.0
9,Dhenkanal,62,Talcher,201,,,,,,,,245.0,5.0,116.0,208.0,1.0,0.0,2.0,4.0,581.0,0.0,5.0,586.0,0.0
9,Dhenkanal,62,Talcher,202,,,,,,,,164.0,7.0,33.0,289.0,2.0,0.0,2.0,2.0,499.0,0.0,6.0,505.0,0.0
9,Dhenkanal,62,Talcher,203,,,,,,,,319.0,8.0,215.0,375.0,6.0,5.0,3.0,0.0,931.0,0.0,4.0,935.0,0.0
9,Dhenkanal,62,Talcher,204,,,,,,,,450.0,3.0,62.0,398.0,3.0,6.0,0.0,1.0,923.0,0.0,7.0,930.0,0.0
