pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No. of rejected votes,Votes for NOTA,Total no. of tendered votes,Total votes
20,Berhampur,138,Chikiti,21,,,,,,,,21.0,312.0,171.0,48.0,56.0,27.0,635.0,0.0,27.0,0.0,662.0
20,Berhampur,138,Chikiti,22,,,,,,,,15.0,128.0,130.0,19.0,27.0,6.0,325.0,0.0,14.0,0.0,339.0
20,Berhampur,138,Chikiti,23,,,,,,,,24.0,697.0,208.0,31.0,18.0,6.0,984.0,0.0,0.0,0.0,984.0
20,Berhampur,138,Chikiti,24,,,,,,,,13.0,285.0,232.0,26.0,9.0,23.0,588.0,0.0,11.0,0.0,599.0
20,Berhampur,138,Chikiti,25,,,,,,,,14.0,165.0,185.0,124.0,16.0,98.0,602.0,0.0,4.0,0.0,606.0
20,Berhampur,138,Chikiti,26,,,,,,,,13.0,108.0,166.0,35.0,9.0,36.0,367.0,0.0,10.0,0.0,377.0
20,Berhampur,138,Chikiti,27,,,,,,,,57.0,253.0,111.0,17.0,31.0,10.0,479.0,0.0,30.0,0.0,509.0
20,Berhampur,138,Chikiti,28,,,,,,,,33.0,324.0,201.0,41.0,80.0,17.0,696.0,0.0,57.0,0.0,753.0
20,Berhampur,138,Chikiti,29,,,,,,,,45.0,277.0,309.0,44.0,188.0,31.0,894.0,0.0,16.0,0.0,910.0
20,Berhampur,138,Chikiti,30,,,,,,,,30.0,384.0,191.0,34.0,91.0,27.0,757.0,0.0,29.0,0.0,786.0
