pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No.of rejected votes,Votes for NOTA options,Total votes,Total No.of tendered votes
18,Bhubaneswar,119,Khurda,90,,,,,,,,0,3,270,84,285,1,0,1,0,2,646,0,4,650,0
18,Bhubaneswar,119,Khurda,91,,,,,,,,1,1,210,34,211,0,0,0,0,1,458,0,0,458,0
18,Bhubaneswar,119,Khurda,92,,,,,,,,0,1,15,7,51,0,0,0,0,0,74,0,0,74,0
18,Bhubaneswar,119,Khurda,93,,,,,,,,1,4,326,92,173,0,1,0,0,1,598,0,2,600,0
18,Bhubaneswar,119,Khurda,94,,,,,,,,1,12,454,121,327,4,4,1,2,2,928,0,7,935,0
18,Bhubaneswar,119,Khurda,95,,,,,,,,1,6,345,127,373,2,2,1,0,0,857,0,2,859,0
18,Bhubaneswar,119,Khurda,96,,,,,,,,0,8,205,46,301,3,1,1,1,1,567,0,0,567,0
18,Bhubaneswar,119,Khurda,97,,,,,,,,2,8,227,21,164,3,1,1,1,3,431,0,2,433,0
18,Bhubaneswar,119,Khurda,98,,,,,,,,5,10,292,25,229,3,1,0,1,1,567,0,4,571,0
18,Bhubaneswar,119,Khurda,99,,,,,,,,1,2,182,37,232,2,3,0,1,1,461,0,7,468,0
18,Bhubaneswar,119,Khurda,100,,,,,,,,0,0,92,10,67,0,1,0,0,0,170,0,0,170,0
18,Bhubaneswar,119,Khurda,101,,,,,,,,1,6,299,115,260,0,2,1,2,4,690,0,2,692,0
18,Bhubaneswar,119,Khurda,102,,,,,,,,1,10,298,26,157,0,0,1,0,0,493,0,1,494,0
18,Bhubaneswar,119,Khurda,103,,,,,,,,1,11,286,45,232,1,2,1,0,0,579,0,1,580,0
18,Bhubaneswar,119,Khurda,104,,,,,,,,0,9,230,7,108,0,1,1,0,0,356,0,0,356,0
18,Bhubaneswar,119,Khurda,105,,,,,,,,1,1,291,64,321,1,4,2,1,1,687,0,1,688,0
18,Bhubaneswar,119,Khurda,106,,,,,,,,0,2,223,15,264,1,3,3,1,2,514,0,5,519,0
