pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total no of valid votes,No of rejected votes,NOTA,Total,No of tendered votes
3,Sambalpur,19,Deogarh,32,,,,,,,,70,4,181,263,2,1,1,2,3,1,1,0,1,530,nan,3,533,nan
3,Sambalpur,19,Deogarh,33,,,,,,,,114,5,115,232,2,2,1,2,2,1,0,1,1,478,nan,4,482,nan
3,Sambalpur,19,Deogarh,34,,,,,,,,51,3,208,237,3,5,0,1,0,2,0,1,1,512,nan,3,515,nan
3,Sambalpur,19,Deogarh,35,,,,,,,,161,6,261,237,10,5,2,2,4,6,6,7,4,711,nan,11,722,nan
3,Sambalpur,19,Deogarh,36,,,,,,,,16,3,202,92,2,1,1,0,3,0,2,1,2,325,nan,3,328,nan
3,Sambalpur,19,Deogarh,37,,,,,,,,37,1,183,64,0,0,0,0,0,1,0,0,0,286,nan,4,290,nan
3,Sambalpur,19,Deogarh,38,,,,,,,,78,10,129,442,1,2,0,0,0,0,1,0,0,663,nan,1,664,nan
3,Sambalpur,19,Deogarh,39,,,,,,,,53,0,168,194,2,10,0,3,5,2,5,3,2,447,nan,4,451,nan
3,Sambalpur,19,Deogarh,40,,,,,,,,108,0,167,184,3,5,3,1,5,0,1,2,4,483,nan,9,492,nan
3,Sambalpur,19,Deogarh,41,,,,,,,,36,11,296,328,1,3,2,2,1,1,6,1,4,692,nan,8,700,nan
3,Sambalpur,19,Deogarh,42,,,,,,,,60,5,160,231,8,4,0,2,1,1,1,3,3,479,nan,1,480,nan
3,Sambalpur,19,Deogarh,43,,,,,,,,68,6,343,379,5,1,0,1,1,2,3,1,6,816,nan,8,824,nan
3,Sambalpur,19,Deogarh,44,,,,,,,,129,6,307,337,2,0,2,0,2,3,1,0,0,789,nan,3,792,nan
3,Sambalpur,19,Deogarh,45,,,,,,,,70,7,264,335,3,0,0,1,0,2,1,0,0,683,nan,0,683,nan
3,Sambalpur,19,Deogarh,46,,,,,,,,55,1,246,191,4,4,0,1,2,1,0,0,2,507,nan,2,509,nan
3,Sambalpur,19,Deogarh,47,,,,,,,,145,18,436,363,15,5,3,3,2,2,3,0,1,996,nan,2,998,nan
3,Sambalpur,19,Deogarh,48,,,,,,,,80,9,350,314,1,2,0,1,3,3,5,1,1,770,nan,3,773,nan
3,Sambalpur,19,Deogarh,49,,,,,,,,33,2,154,101,1,6,0,2,2,0,1,1,0,303,nan,6,309,nan
3,Sambalpur,19,Deogarh,50,,,,,,,,167,1,154,327,4,3,2,1,0,0,0,2,1,662,nan,1,663,nan
3,Sambalpur,19,Deogarh,51,,,,,,,,142,3,219,285,3,0,2,2,3,2,1,2,3,667,nan,3,670,nan
3,Sambalpur,19,Deogarh,52,,,,,,,,111,7,188,152,1,1,2,1,3,0,0,1,1,468,nan,5,473,nan
3,Sambalpur,19,Deogarh,53,,,,,,,,34,2,87,198,2,1,0,1,1,1,1,0,2,330,nan,1,331,nan
3,Sambalpur,19,Deogarh,54,,,,,,,,66,6,193,195,2,2,2,2,0,1,2,2,0,473,nan,3,476,nan
3,Sambalpur,19,Deogarh,55,,,,,,,,125,8,222,219,4,2,4,2,3,2,2,4,4,601,nan,7,608,nan
3,Sambalpur,19,Deogarh,56,,,,,,,,29,0,140,135,1,1,2,0,1,0,0,1,1,311,nan,0,311,nan
3,Sambalpur,19,Deogarh,57,,,,,,,,41,7,183,343,6,0,0,1,1,0,1,0,0,583,nan,1,584,nan
3,Sambalpur,19,Deogarh,58,,,,,,,,90,41,184,236,6,0,4,2,1,0,1,1,0,566,nan,1,567,nan
3,Sambalpur,19,Deogarh,59,,,,,,,,70,1,259,324,4,1,0,2,3,1,3,2,2,672,nan,4,676,nan
3,Sambalpur,19,Deogarh,60,,,,,,,,43,6,129,236,0,0,1,0,1,0,0,0,2,418,nan,1,419,nan
3,Sambalpur,19,Deogarh,61,,,,,,,,41,4,177,307,4,2,0,0,1,0,3,0,0,539,nan,1,540,nan
3,Sambalpur,19,Deogarh,62,,,,,,,,16,1,134,166,0,6,1,1,1,0,0,0,0,326,nan,0,326,nan
3,Sambalpur,19,Deogarh,63,,,,,,,,55,3,41,123,2,3,1,0,0,1,0,0,0,229,nan,1,230,nan
3,Sambalpur,19,Deogarh,64,,,,,,,,27,1,138,308,1,4,0,1,0,1,0,0,0,481,nan,1,482,nan
3,Sambalpur,19,Deogarh,65,,,,,,,,18,4,131,186,2,6,0,1,1,0,0,1,1,351,nan,1,352,nan
3,Sambalpur,19,Deogarh,66,,,,,,,,31,2,287,227,3,18,0,1,2,3,0,1,1,576,nan,0,576,nan
3,Sambalpur,19,Deogarh,67,,,,,,,,42,1,252,327,1,1,1,3,1,0,0,1,0,630,nan,0,630,nan
3,Sambalpur,19,Deogarh,68,,,,,,,,130,2,165,301,1,2,0,0,1,1,3,2,0,608,nan,7,615,nan
3,Sambalpur,19,Deogarh,69,,,,,,,,62,8,194,278,1,5,0,3,0,1,5,1,2,560,nan,7,567,nan
3,Sambalpur,19,Deogarh,70,,,,,,,,76,9,178,114,6,14,3,6,5,6,6,2,4,429,nan,6,435,nan
3,Sambalpur,19,Deogarh,71,,,,,,,,47,3,135,268,3,3,0,0,5,1,4,6,0,475,nan,6,481,nan
3,Sambalpur,19,Deogarh,72,,,,,,,,30,1,145,208,1,2,0,0,1,2,1,1,4,396,nan,4,400,nan
3,Sambalpur,19,Deogarh,73,,,,,,,,118,1,142,282,1,2,2,2,1,2,2,2,3,560,nan,16,576,nan
3,Sambalpur,19,Deogarh,74,,,,,,,,38,3,125,136,0,0,0,0,1,0,1,0,0,304,nan,4,308,nan
