pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid Votes,No.of Rejected Votes (Test Votes),Votes for NOTA Option,Total,No.of Tendered Votes
21,Koraput,143,Rayagada,211,,,,,,,,19.0,229.0,219.0,323.0,8.0,4.0,4.0,3.0,809,0,5.0,814,0
21,Koraput,143,Rayagada,212,,,,,,,,5.0,173.0,131.0,111.0,4.0,2.0,2.0,8.0,436,0,13.0,449,0
21,Koraput,143,Rayagada,213,,,,,,,,21.0,209.0,270.0,514.0,3.0,2.0,3.0,3.0,1025,0,7.0,1032,0
21,Koraput,143,Rayagada,214,,,,,,,,6.0,85.0,307.0,164.0,2.0,5.0,2.0,2.0,573,0,10.0,583,0
21,Koraput,143,Rayagada,215,,,,,,,,8.0,159.0,381.0,281.0,6.0,2.0,5.0,3.0,845,0,5.0,850,0
21,Koraput,143,Rayagada,216,,,,,,,,8.0,32.0,84.0,144.0,1.0,0.0,2.0,2.0,273,0,3.0,276,0
21,Koraput,143,Rayagada,217,,,,,,,,9.0,81.0,137.0,158.0,2.0,0.0,1.0,0.0,388,0,1.0,389,0
21,Koraput,143,Rayagada,218,,,,,,,,16.0,199.0,413.0,208.0,15.0,8.0,16.0,11.0,886,0,26.0,912,0
21,Koraput,143,Rayagada,219,,,,,,,,25.0,122.0,261.0,343.0,7.0,9.0,15.0,8.0,790,0,33.0,823,0
21,Koraput,143,Rayagada,220,,,,,,,,15.0,141.0,135.0,262.0,6.0,3.0,9.0,6.0,577,0,14.0,591,0
21,Koraput,143,Rayagada,221,,,,,,,,15.0,199.0,372.0,279.0,3.0,0.0,5.0,2.0,875,0,6.0,881,0
21,Koraput,143,Rayagada,222,,,,,,,,14.0,58.0,313.0,504.0,9.0,8.0,6.0,12.0,924,0,38.0,962,0
21,Koraput,143,Rayagada,223,,,,,,,,24.0,381.0,300.0,320.0,9.0,10.0,9.0,13.0,1066,0,18.0,1084,0
21,Koraput,143,Rayagada,224,,,,,,,,18.0,326.0,277.0,184.0,3.0,4.0,7.0,8.0,827,0,19.0,846,0
21,Koraput,143,Rayagada,225,,,,,,,,9.0,52.0,135.0,113.0,2.0,3.0,2.0,4.0,320,0,5.0,325,0
21,Koraput,143,Rayagada,226,,,,,,,,7.0,53.0,284.0,105.0,7.0,7.0,3.0,9.0,475,0,15.0,490,0
21,Koraput,143,Rayagada,227,,,,,,,,19.0,12.0,154.0,76.0,14.0,7.0,7.0,6.0,295,0,12.0,307,0
21,Koraput,143,Rayagada,228,,,,,,,,8.0,43.0,130.0,122.0,15.0,3.0,6.0,13.0,340,0,24.0,364,0
21,Koraput,143,Rayagada,229,,,,,,,,22.0,28.0,164.0,122.0,11.0,2.0,9.0,6.0,364,0,7.0,371,0
21,Koraput,143,Rayagada,230,,,,,,,,20.0,234.0,272.0,465.0,4.0,9.0,3.0,1.0,1008,0,5.0,1013,0
21,Koraput,143,Rayagada,231,,,,,,,,30.0,140.0,502.0,349.0,13.0,4.0,5.0,10.0,1053,0,4.0,1057,0
21,Koraput,143,Rayagada,232,,,,,,,,6.0,62.0,197.0,189.0,3.0,4.0,0.0,2.0,463,0,7.0,470,0
21,Koraput,143,Rayagada,233,,,,,,,,22.0,123.0,303.0,234.0,5.0,12.0,13.0,14.0,726,0,26.0,752,0
21,Koraput,143,Rayagada,234,,,,,,,,10.0,62.0,476.0,208.0,17.0,9.0,11.0,11.0,804,0,12.0,816,0
21,Koraput,143,Rayagada,235,,,,,,,,9.0,211.0,55.0,448.0,3.0,3.0,5.0,4.0,738,0,19.0,757,0
