pc_id,pc_name,ac_id,ac_name,Sl. No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,NOTA,No. of Rejected votes,No. of Tendered Votes,Serial No. of Polling Station,Total,Total of Valid votes
10,Bolangir,69,Titlagarh,292,,,,,,,,153,271,8,126,8,1,3,3,4,0,0,292.0,577,573
10,Bolangir,69,Titlagarh,293,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,293.0,0,0
10,Bolangir,69,Titlagarh,294,,,,,,,,100,385,9,181,7,1,5,2,2,0,0,294.0,692,690
10,Bolangir,69,Titlagarh,295,,,,,,,,108,334,7,89,2,4,4,6,6,0,0,295.0,560,554
10,Bolangir,69,Titlagarh,296,,,,,,,,297,396,7,257,13,5,6,1,4,0,0,296.0,986,982
10,Bolangir,69,Titlagarh,297,,,,,,,,124,197,5,57,1,1,1,4,2,0,0,297.0,392,390
10,Bolangir,69,Titlagarh,298,,,,,,,,164,230,13,144,5,2,3,2,3,0,0,298.0,566,563
10,Bolangir,69,Titlagarh,299,,,,,,,,219,256,1,168,2,2,4,3,8,0,0,299.0,663,655
10,Bolangir,69,Titlagarh,300,,,,,,,,191,272,4,433,15,7,2,5,14,0,0,300.0,943,929
10,Bolangir,69,Titlagarh,301,,,,,,,,249,317,21,235,5,2,3,7,8,0,0,301.0,847,839
10,Bolangir,69,Titlagarh,302,,,,,,,,50,167,5,284,4,0,2,2,6,0,0,302.0,520,514
10,Bolangir,69,Titlagarh,303,,,,,,,,112,100,10,156,9,3,2,1,3,0,0,303.0,396,393
10,Bolangir,69,Titlagarh,304,,,,,,,,179,363,4,26,2,1,0,5,5,0,0,304.0,585,580
10,Bolangir,69,Titlagarh,305,,,,,,,,279,326,9,212,15,5,11,9,11,0,0,305.0,877,866
10,Bolangir,69,Titlagarh,306,,,,,,,,84,173,3,48,3,4,9,3,1,0,0,306.0,328,327
10,Bolangir,69,Titlagarh,307,,,,,,,,38,103,4,179,5,1,2,1,4,0,0,307.0,337,333
10,Bolangir,69,Titlagarh,308,,,,,,,,255,324,4,135,9,4,2,2,5,0,0,308.0,740,735
10,Bolangir,69,Titlagarh,309,,,,,,,,192,377,12,259,19,10,8,7,12,0,0,309.0,896,884
