pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,107,Paradeep,159,,,,,,,,27,393,347,19,1,9,801,0,5,808,0
16,Jagatsinghpur,107,Paradeep,160,,,,,,,,9,262,231,2,3,3,514,0,4,514,0
16,Jagatsinghpur,107,Paradeep,161,,,,,,,,10,162,104,1,0,1,279,0,1,282,0
16,Jagatsinghpur,107,Paradeep,162,,,,,,,,8,418,163,2,1,0,595,0,3,599,0
16,Jagatsinghpur,107,Paradeep,163,,,,,,,,8,247,165,5,0,3,432,0,4,432,0
16,Jagatsinghpur,107,Paradeep,164,,,,,,,,22,381,319,1,2,8,744,0,11,746,0
16,Jagatsinghpur,107,Paradeep,165,,,,,,,,6,199,459,4,2,2,676,0,4,678,0
16,Jagatsinghpur,107,Paradeep,166,,,,,,,,3,254,255,2,2,3,522,0,3,528,0
16,Jagatsinghpur,107,Paradeep,167,,,,,,,,22,336,419,9,5,6,804,0,7,805,0
16,Jagatsinghpur,107,Paradeep,168,,,,,,,,17,313,485,10,3,16,846,0,2,851,0
16,Jagatsinghpur,107,Paradeep,169,,,,,,,,11,343,297,3,4,1,662,0,3,667,0
16,Jagatsinghpur,107,Paradeep,170,,,,,,,,11,337,339,4,4,4,714,0,15,720,0
16,Jagatsinghpur,107,Paradeep,171,,,,,,,,12,336,276,1,4,6,638,0,3,643,0
16,Jagatsinghpur,107,Paradeep,172,,,,,,,,22,313,443,12,2,4,805,0,9,816,0
16,Jagatsinghpur,107,Paradeep,173,,,,,,,,12,427,392,4,6,7,854,0,6,857,0
16,Jagatsinghpur,107,Paradeep,174,,,,,,,,13,168,211,2,1,2,404,0,7,407,0
16,Jagatsinghpur,107,Paradeep,175,,,,,,,,8,297,180,2,0,0,487,0,0,489,0
16,Jagatsinghpur,107,Paradeep,176,,,,,,,,11,384,427,11,1,7,844,0,3,850,0
16,Jagatsinghpur,107,Paradeep,177,,,,,,,,20,452,316,25,0,5,823,0,5,823,0
16,Jagatsinghpur,107,Paradeep,178,,,,,,,,13,242,388,4,2,0,651,0,2,654,0
16,Jagatsinghpur,107,Paradeep,179,,,,,,,,9,167,133,2,1,1,315,0,2,319,0
16,Jagatsinghpur,107,Paradeep,180,,,,,,,,6,430,497,13,4,2,958,0,6,958,0
16,Jagatsinghpur,107,Paradeep,181,,,,,,,,9,286,371,7,3,0,679,0,3,683,0
16,Jagatsinghpur,107,Paradeep,182,,,,,,,,4,80,162,5,2,0,253,0,0,259,0
16,Jagatsinghpur,107,Paradeep,183,,,,,,,,13,283,363,4,2,3,679,0,11,681,0
16,Jagatsinghpur,107,Paradeep,184,,,,,,,,8,239,308,5,2,5,569,0,2,571,0
16,Jagatsinghpur,107,Paradeep,185,,,,,,,,12,189,464,5,0,4,677,0,3,679,0
16,Jagatsinghpur,107,Paradeep,186,,,,,,,,3,166,401,3,2,3,581,0,3,583,0
16,Jagatsinghpur,107,Paradeep,187,,,,,,,,6,255,347,6,2,3,621,0,2,625,0
16,Jagatsinghpur,107,Paradeep,188,,,,,,,,9,185,368,7,0,1,572,0,2,573,0
16,Jagatsinghpur,107,Paradeep,189,,,,,,,,9,240,374,0,1,2,628,0,2,632,0
16,Jagatsinghpur,107,Paradeep,190,,,,,,,,3,178,113,7,1,0,302,0,0,307,0
16,Jagatsinghpur,107,Paradeep,191,,,,,,,,26,380,514,8,2,2,936,0,4,938,0
16,Jagatsinghpur,107,Paradeep,192,,,,,,,,11,160,275,1,0,1,448,0,0,451,0
16,Jagatsinghpur,107,Paradeep,193,,,,,,,,6,453,389,9,2,1,863,0,3,864,0
16,Jagatsinghpur,107,Paradeep,194,,,,,,,,10,422,469,32,4,6,951,0,8,952,0
16,Jagatsinghpur,107,Paradeep,195,,,,,,,,14,299,418,21,1,3,765,0,9,767,0
16,Jagatsinghpur,107,Paradeep,196,,,,,,,,5,189,292,7,6,1,501,0,1,501,0
16,Jagatsinghpur,107,Paradeep,197,,,,,,,,14,366,384,6,4,4,787,0,9,794,0
16,Jagatsinghpur,107,Paradeep,198,,,,,,,,15,361,436,2,3,6,829,0,6,834,0
16,Jagatsinghpur,107,Paradeep,199,,,,,,,,8,501,378,2,4,5,902,0,4,917,0
16,Jagatsinghpur,107,Paradeep,200,,,,,,,,18,477,329,8,5,6,848,0,5,848,0
16,Jagatsinghpur,107,Paradeep,201,,,,,,,,3,256,498,7,3,9,786,0,10,787,0
16,Jagatsinghpur,107,Paradeep,202,,,,,,,,22,316,360,2,1,5,717,0,11,723,0
16,Jagatsinghpur,107,Paradeep,203,,,,,,,,16,374,319,3,2,5,725,0,6,727,0
16,Jagatsinghpur,107,Paradeep,204,,,,,,,,9,453,289,0,1,1,759,0,6,771,0
16,Jagatsinghpur,107,Paradeep,205,,,,,,,,10,336,247,3,3,1,601,0,1,608,0
16,Jagatsinghpur,107,Paradeep,206,,,,,,,,5,162,359,1,3,2,537,0,5,539,0
16,Jagatsinghpur,107,Paradeep,207,,,,,,,,5,312,303,1,1,1,623,0,0,624,0
16,Jagatsinghpur,107,Paradeep,208,,,,,,,,15,333,451,2,1,1,804,0,1,807,0
16,Jagatsinghpur,107,Paradeep,209,,,,,,,,8,166,414,26,1,2,618,0,1,619,0
16,Jagatsinghpur,107,Paradeep,210,,,,,,,,8,280,438,14,2,3,749,0,4,751,0
16,Jagatsinghpur,107,Paradeep,211,,,,,,,,11,190,293,4,0,0,499,0,1,499,0
16,Jagatsinghpur,107,Paradeep,212,,,,,,,,4,178,295,2,0,0,480,0,1,482,0
16,Jagatsinghpur,107,Paradeep,213,,,,,,,,17,186,307,0,1,2,513,0,0,517,0
16,Jagatsinghpur,107,Paradeep,214,,,,,,,,12,265,492,5,1,3,780,0,2,783,0
16,Jagatsinghpur,107,Paradeep,215,,,,,,,,6,224,346,5,2,2,590,0,5,591,0
16,Jagatsinghpur,107,Paradeep,216,,,,,,,,3,215,329,5,6,2,564,0,4,573,0
16,Jagatsinghpur,107,Paradeep,217,,,,,,,,14,125,371,3,5,5,526,0,3,527,0
16,Jagatsinghpur,107,Paradeep,218,,,,,,,,1,87,188,1,0,2,279,0,0,279,0
16,Jagatsinghpur,107,Paradeep,219,,,,,,,,9,65,204,1,0,0,281,0,2,283,0
16,Jagatsinghpur,107,Paradeep,220,,,,,,,,19,355,518,4,1,1,900,0,2,902,0
16,Jagatsinghpur,107,Paradeep,221,,,,,,,,34,158,246,2,0,4,446,0,2,447,0
16,Jagatsinghpur,107,Paradeep,222,,,,,,,,13,261,295,1,1,0,571,0,0,573,0
16,Jagatsinghpur,107,Paradeep,223,,,,,,,,9,108,296,1,1,0,415,0,0,415,0
16,Jagatsinghpur,107,Paradeep,224,,,,,,,,5,155,244,1,0,0,406,0,1,407,0
16,Jagatsinghpur,107,Paradeep,225,,,,,,,,1,49,340,0,0,0,390,0,0,390,0
16,Jagatsinghpur,107,Paradeep,226,,,,,,,,4,68,306,0,1,0,380,0,1,381,0
16,Jagatsinghpur,107,Paradeep,227,,,,,,,,16,176,336,0,1,0,529,0,0,530,0
16,Jagatsinghpur,107,Paradeep,228,,,,,,,,8,180,328,5,1,3,526,0,1,533,0
16,Jagatsinghpur,107,Paradeep,229,,,,,,,,4,87,168,1,1,1,264,0,2,268,0
16,Jagatsinghpur,107,Paradeep,230,,,,,,,,19,393,626,12,2,0,1056,0,4,1057,0
16,Jagatsinghpur,107,Paradeep,231,,,,,,,,7,428,494,7,2,2,942,0,2,943,0
16,Jagatsinghpur,107,Paradeep,232,,,,,,,,15,359,371,6,1,2,758,0,4,762,0
16,Jagatsinghpur,107,Paradeep,233,,,,,,,,11,141,232,0,1,1,388,0,2,392,0
16,Jagatsinghpur,107,Paradeep,234,,,,,,,,20,145,519,0,0,0,685,0,1,687,0
16,Jagatsinghpur,107,Paradeep,235,,,,,,,,17,309,499,0,2,1,830,0,2,831,0
