pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total No. of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes.,Total No. of votes.
19,Aska,128,Kabisuryanagar,58,,,,,,,,143,46,217,5,3,0,414,0,9,0,423
19,Aska,128,Kabisuryanagar,59,,,,,,,,107,88,201,4,3,3,406,0,1,0,407
19,Aska,128,Kabisuryanagar,60,,,,,,,,85,18,100,2,1,1,207,0,4,0,211
19,Aska,128,Kabisuryanagar,61,,,,,,,,275,24,426,8,4,10,747,0,15,0,762
19,Aska,128,Kabisuryanagar,62,,,,,,,,61,76,321,3,3,5,469,0,9,0,478
19,Aska,128,Kabisuryanagar,63,,,,,,,,167,19,323,4,5,10,528,0,13,0,541
19,Aska,128,Kabisuryanagar,64,,,,,,,,160,12,236,1,3,1,413,0,11,0,424
19,Aska,128,Kabisuryanagar,65,,,,,,,,153,52,358,15,6,6,590,0,17,0,607
19,Aska,128,Kabisuryanagar,66,,,,,,,,134,15,313,4,10,5,481,0,3,0,484
19,Aska,128,Kabisuryanagar,67,,,,,,,,186,14,263,4,4,3,474,0,20,0,494
19,Aska,128,Kabisuryanagar,68,,,,,,,,193,19,404,6,4,8,634,0,9,0,643
19,Aska,128,Kabisuryanagar,69,,,,,,,,144,30,143,2,1,3,323,0,1,0,324
19,Aska,128,Kabisuryanagar,70,,,,,,,,210,54,281,4,8,6,563,0,8,0,571
19,Aska,128,Kabisuryanagar,71,,,,,,,,216,20,212,4,3,4,459,0,7,0,466
19,Aska,128,Kabisuryanagar,72,,,,,,,,100,83,291,9,6,6,495,0,8,0,503
19,Aska,128,Kabisuryanagar,73,,,,,,,,154,46,411,7,6,1,625,0,3,0,628
19,Aska,128,Kabisuryanagar,74,,,,,,,,134,24,409,7,3,7,584,0,11,0,595
19,Aska,128,Kabisuryanagar,75,,,,,,,,113,33,510,4,3,4,667,0,5,0,672
