pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,81,Dabugam,227,,,,,,,,287.0,175.0,6.0,369.0,1.0,0.0,1.0,3.0,3.0,8.0,853,0,1.0,854,0
12,Nabarangpur,81,Dabugam,228,,,,,,,,207.0,308.0,11.0,215.0,3.0,5.0,5.0,22.0,8.0,9.0,793,0,9.0,802,0
12,Nabarangpur,81,Dabugam,229,,,,,,,,151.0,223.0,10.0,194.0,9.0,4.0,6.0,11.0,6.0,13.0,627,0,6.0,633,0
12,Nabarangpur,81,Dabugam,230,,,,,,,,218.0,276.0,4.0,250.0,18.0,9.0,3.0,14.0,9.0,6.0,807,0,7.0,814,0
12,Nabarangpur,81,Dabugam,231,,,,,,,,15.0,496.0,5.0,49.0,3.0,1.0,0.0,0.0,1.0,4.0,574,0,0.0,574,0
12,Nabarangpur,81,Dabugam,232,,,,,,,,131.0,251.0,5.0,202.0,9.0,10.0,2.0,3.0,4.0,15.0,632,0,1.0,633,0
12,Nabarangpur,81,Dabugam,233,,,,,,,,253.0,225.0,12.0,488.0,10.0,7.0,11.0,8.0,29.0,16.0,1059,0,12.0,1071,0
12,Nabarangpur,81,Dabugam,234,,,,,,,,28.0,193.0,19.0,78.0,11.0,4.0,5.0,1.0,9.0,7.0,355,0,9.0,364,0
12,Nabarangpur,81,Dabugam,235,,,,,,,,162.0,107.0,5.0,274.0,6.0,3.0,4.0,4.0,14.0,49.0,628,0,5.0,633,0
12,Nabarangpur,81,Dabugam,236,,,,,,,,107.0,210.0,10.0,230.0,12.0,7.0,9.0,17.0,4.0,29.0,635,0,9.0,644,0
