pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,104,Rajanagar,108,,,,,,,,142,2,311,231,4,1,2,693,0,10,703,0
15,Kendrapara ,104,Rajanagar,109,,,,,,,,282,3,335,170,1,0,1,792,0,3,795,0
15,Kendrapara ,104,Rajanagar,110,,,,,,,,230,5,281,168,2,4,2,692,0,1,693,0
15,Kendrapara ,104,Rajanagar,111,,,,,,,,123,3,299,212,1,0,1,639,0,9,648,0
15,Kendrapara ,104,Rajanagar,112,,,,,,,,147,2,287,136,1,1,1,575,0,2,577,0
15,Kendrapara ,104,Rajanagar,113,,,,,,,,265,2,509,158,1,3,0,938,0,1,939,0
15,Kendrapara ,104,Rajanagar,114,,,,,,,,98,0,125,53,0,0,0,276,0,1,277,0
15,Kendrapara ,104,Rajanagar,115,,,,,,,,256,4,305,181,1,0,4,751,0,0,751,0
15,Kendrapara ,104,Rajanagar,116,,,,,,,,90,1,255,52,0,1,1,400,0,0,400,0
15,Kendrapara ,104,Rajanagar,117,,,,,,,,369,1,432,126,0,0,0,928,0,1,929,0
15,Kendrapara ,104,Rajanagar,118,,,,,,,,121,1,262,181,1,0,0,566,0,3,569,0
15,Kendrapara ,104,Rajanagar,119,,,,,,,,183,2,235,137,0,0,1,558,0,0,558,0
15,Kendrapara ,104,Rajanagar,120,,,,,,,,96,2,220,163,0,1,2,484,0,5,489,0
15,Kendrapara ,104,Rajanagar,121,,,,,,,,289,7,379,217,2,2,3,899,0,1,900,0
15,Kendrapara ,104,Rajanagar,122,,,,,,,,301,0,255,153,2,0,2,713,0,2,715,0
15,Kendrapara ,104,Rajanagar,123,,,,,,,,368,6,346,188,2,0,0,910,0,1,911,0
15,Kendrapara ,104,Rajanagar,124,,,,,,,,417,1,376,102,1,0,2,899,0,3,902,0
15,Kendrapara ,104,Rajanagar,125,,,,,,,,390,3,221,96,1,1,1,713,0,1,714,0
15,Kendrapara ,104,Rajanagar,126,,,,,,,,199,2,173,70,2,1,0,447,0,2,449,0
15,Kendrapara ,104,Rajanagar,127,,,,,,,,222,4,199,46,1,0,0,472,0,0,472,0
