pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of vaild votes(Test votes),Total of rejected votes (test Votes),Votes for NOTA option,Total No of Votes,Total No of tendered votes
19,Aska,129,Khalikote,226,,,,,,,,160.0,231.0,118.0,18.0,7.0,534,0,15.0,549,0
19,Aska,129,Khalikote,227,,,,,,,,31.0,143.0,241.0,25.0,7.0,447,0,20.0,467,0
19,Aska,129,Khalikote,228,,,,,,,,160.0,91.0,135.0,17.0,8.0,411,0,31.0,442,0
19,Aska,129,Khalikote,229,,,,,,,,101.0,276.0,93.0,11.0,6.0,487,0,9.0,496,0
19,Aska,129,Khalikote,230,,,,,,,,104.0,81.0,272.0,30.0,12.0,499,0,14.0,513,0
19,Aska,129,Khalikote,231,,,,,,,,158.0,302.0,19.0,8.0,4.0,491,0,1.0,492,0
19,Aska,129,Khalikote,232,,,,,,,,308.0,198.0,17.0,3.0,0.0,526,0,1.0,527,0
19,Aska,129,Khalikote,233,,,,,,,,465.0,352.0,27.0,7.0,7.0,858,0,9.0,867,0
19,Aska,129,Khalikote,234,,,,,,,,69.0,193.0,148.0,7.0,8.0,425,0,12.0,437,0
19,Aska,129,Khalikote,235,,,,,,,,165.0,112.0,31.0,7.0,6.0,321,0,6.0,327,0
19,Aska,129,Khalikote,236,,,,,,,,388.0,324.0,13.0,5.0,5.0,735,0,2.0,737,0
19,Aska,129,Khalikote,237,,,,,,,,294.0,401.0,23.0,18.0,18.0,754,0,33.0,787,0
19,Aska,129,Khalikote,238,,,,,,,,257.0,287.0,24.0,2.0,3.0,573,0,8.0,581,0
19,Aska,129,Khalikote,239,,,,,,,,263.0,307.0,59.0,3.0,2.0,634,0,12.0,646,0
19,Aska,129,Khalikote,240,,,,,,,,238.0,329.0,17.0,7.0,17.0,608,0,34.0,642,0
19,Aska,129,Khalikote,241,,,,,,,,97.0,95.0,7.0,1.0,0.0,200,0,0.0,200,0
