pc_id,pc_name,ac_id,ac_name,SL NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,TOTAL VALID VOTES,NO. OF VOTES REJECTED (TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,TOTAL NO. OF TENDERED VOTES
10,Bolangir,67,Patnagarh,28,,,,,,,,385,65,299,20,769,0,21,790,0
10,Bolangir,67,Patnagarh,29,,,,,,,,120,18,120,21,279,0,7,286,0
10,Bolangir,67,Patnagarh,30,,,,,,,,85,59,104,46,294,0,4,298,0
10,Bolangir,67,Patnagarh,31,,,,,,,,293,13,141,24,471,0,8,479,0
10,Bolangir,67,Patnagarh,32,,,,,,,,305,243,348,25,921,0,25,946,0
10,Bolangir,67,Patnagarh,33,,,,,,,,248,113,202,22,585,0,10,595,0
10,Bolangir,67,Patnagarh,34,,,,,,,,372,88,207,27,694,0,16,710,0
10,Bolangir,67,Patnagarh,35,,,,,,,,255,67,413,12,747,0,8,755,0
10,Bolangir,67,Patnagarh,36,,,,,,,,222,32,213,42,509,0,6,515,0
10,Bolangir,67,Patnagarh,37,,,,,,,,213,32,101,4,350,0,9,359,0
