pc_id,pc_name,ac_id,ac_name,Serial No of polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid Votes,No of rejected votes,NOTA,Total,NO of tendered Votes
16,Jagatsinghpur,111,Kakatpur,66,,,,,,,,213,50,6,1,0,383,1,1,655,0,1,656,0.0
16,Jagatsinghpur,111,Kakatpur,67,,,,,,,,220,104,12,2,1,255,4,3,601,0,10,611,0.0
16,Jagatsinghpur,111,Kakatpur,68,,,,,,,,177,71,3,3,3,212,1,0,470,0,4,474,0.0
16,Jagatsinghpur,111,Kakatpur,69,,,,,,,,98,33,2,1,2,140,0,0,276,0,2,278,0.0
16,Jagatsinghpur,111,Kakatpur,70,,,,,,,,336,241,4,4,3,275,9,4,876,0,6,882,0.0
16,Jagatsinghpur,111,Kakatpur,71,,,,,,,,151,82,3,1,2,217,2,5,463,0,8,471,0.0
16,Jagatsinghpur,111,Kakatpur,72,,,,,,,,443,145,4,1,1,138,1,0,733,0,2,735,0.0
16,Jagatsinghpur,111,Kakatpur,73,,,,,,,,405,156,6,2,3,190,4,2,768,0,1,769,0.0
16,Jagatsinghpur,111,Kakatpur,74,,,,,,,,234,214,17,3,0,247,1,0,716,0,2,718,0.0
16,Jagatsinghpur,111,Kakatpur,75,,,,,,,,263,74,3,0,1,74,0,0,415,0,1,416,0.0
16,Jagatsinghpur,111,Kakatpur,76,,,,,,,,318,120,1,4,2,410,2,7,864,0,2,866,0.0
16,Jagatsinghpur,111,Kakatpur,77,,,,,,,,267,41,2,4,1,314,0,1,630,0,2,632,0.0
16,Jagatsinghpur,111,Kakatpur,78,,,,,,,,223,142,3,0,3,97,2,5,475,0,3,478,0.0
16,Jagatsinghpur,111,Kakatpur,79,,,,,,,,330,14,1,0,0,179,0,3,527,0,0,527,0.0
16,Jagatsinghpur,111,Kakatpur,80,,,,,,,,244,109,6,1,1,206,3,3,573,0,4,577,0.0
16,Jagatsinghpur,111,Kakatpur,81,,,,,,,,218,87,2,5,1,59,0,2,374,0,9,383,0.0
16,Jagatsinghpur,111,Kakatpur,82,,,,,,,,322,205,3,0,0,73,5,6,614,0,6,620,0.0
16,Jagatsinghpur,111,Kakatpur,83,,,,,,,,324,172,6,4,1,143,4,8,662,0,8,670,0.0
16,Jagatsinghpur,111,Kakatpur,84,,,,,,,,201,138,8,2,1,92,1,1,444,0,4,448,0.0
16,Jagatsinghpur,111,Kakatpur,85,,,,,,,,141,113,11,5,1,205,0,2,478,0,3,481,0.0
